,message,Category,label
149,can you please overcome my card appeal status,Banking_Get_Card_Request_Status,18
150,please can you help me to show atm card turned on,Banking_Activate_Card,0
151,get gender turned,Banking_Change_Credential_Info,5
152,please get my pass-code refined,Banking_Change_Passcode,6
153,please assist me to refinement acc_no,Banking_Change_Credential_Info,5
154,get me permenant address transited,Banking_Change_Credential_Info,5
155,Where to overcome 4 a/c activities for my a/c?,Banking_View_Activity,27
156,What steps can I take when I lost debit card?,Banking_Report_Missing_Card,25
157,can you please cause a solicitation for card,Banking_Card_Request,2
158,Where to get 10 my accounts activity history for my accounts?,Banking_View_Activity,27
159,please help me to get charges of credit card,Banking_Fee_Inquiry,10
160,help me to turn off visa card atm Passcode,Banking_Cancel_Card,1
161,please assist to find my acc_no,Banking_Get_Account_Number,14
162,please assist me to give email address,Banking_Get_Email,21
163,what are the processes for Replace visa card passcode,Banking_Replace_Card,24
164,can you help me to overcome my debit card setup,Banking_Activate_Card,0
165,assist to Replace my bank card,Banking_Replace_Card,24
166,I wanna obtain activity history,Banking_View_Activity,27
167,please help me to Change atm card atm Passcode,Banking_Replace_Card,24
168,please search registered mail id,Banking_Get_Email,21
169,modulation my contact no,Banking_Change_Contact,4
170,please help me to modulation registered mail id,Banking_Change_Credential_Info,5
171,can you give me master card re-enabled,Banking_Activate_Card,0
172,find me balance,Banking_Get_Account_Balance,12
173,can you help me to get my pass-code adjusted,Banking_Change_Passcode,6
174,help me to catch my till_year,Banking_Get_Secure_Info,22
175,can you get me my acc no adjusted,Banking_Change_Credential_Info,5
176,please assist me to achieve solicitation for card,Banking_Card_Request,2
177,please assist to change pass_code,Banking_Change_Passcode,6
178,can you please look through my account and tell me whether its is 1,Banking_Get_Acc_Status,11
179,Change credit card pin num,Banking_Replace_Card,24
180,can you get me my email surrogated,Banking_Change_Credential_Info,5
181,get me help to Change visa card,Banking_Replace_Card,24
182,come with mobile num,Banking_Get_Contact,20
183,get me help to turn on atm card,Banking_Activate_Card,0
184,please get my account no adjusted,Banking_Change_Credential_Info,5
185,can you help me to develop a appeal for card,Banking_Card_Request,2
186,My debit card is lost how should I cancel it,Banking_Report_Missing_Card,25
187,assist me to get fees inquiry for my visa card,Banking_Fee_Inquiry,10
188,wire my money,Banking_Transfer_Money,26
189,9 overcome recent activity,Banking_View_Activity,27
190,can you please catch username,Banking_Get_Username,23
191,Where to see 2 activity history for my a/c?,Banking_View_Activity,27
192,can you originate a appeal for card,Banking_Card_Request,2
193,can you display me cvv,Banking_Get_Secure_Info,22
194,can you help me to make requisition for card,Banking_Card_Request,2
195,please can you help me to turn to my gender,Banking_Change_Credential_Info,5
196,please can you help me to provide my adress,Banking_Get_Address,15
197,display my bal of bank card,Banking_Get_Account_Balance,12
198,please assist to come with my balance,Banking_Get_Account_Balance,12
199,can you give rise to a desire for card,Banking_Card_Request,2
200,please assist me to overcome contact num,Banking_Get_Contact,20
201,can you give me mobile,Banking_Get_Contact,20
202,fees inquiry for my bank card,Banking_Fee_Inquiry,10
203,assist me to come with account details,Banking_Get_Account_Details,13
204,prepare me my Account details,Banking_Get_Account_Details,13
205,assist me to no longer want my bank card passcode,Banking_Cancel_Card,1
206,Where to find 3 recent activity for my accounts?,Banking_View_Activity,27
207,cost credit card,Banking_Fee_Inquiry,10
208,I want to know about credit deactivation process,Banking_Cancel_Card,1
209,Where to display accounts activity summary for my accounts?,Banking_View_Activity,27
210,please help me to give rise to request for card,Banking_Card_Request,2
211,get me help to Change visa card atm Passcode,Banking_Replace_Card,24
212,can you help me to overcome my master card status,Banking_Get_Card_Status,19
213,assist to send liquid to other bank account,Banking_Transfer_Money,26
214,I want someone to help me check 1 my a/c activity history and summary for every activity of my account,Banking_View_Activity,27
215,update my address,Banking_Change_Address,3
216,can you help me to come with me master card recover,Banking_Replace_Card,24
217,assist to catch till year,Banking_Get_Secure_Info,22
218,can you help me to find my account details,Banking_Get_Account_Details,13
219,help me to modulation me my acc no,Banking_Change_Credential_Info,5
220,can i cancel credit card active keys,Banking_Cancel_Card,1
221,please can you help me to overcome me a card inquiry status,Banking_Get_Card_Request_Status,18
222,raise a card desire,Banking_Card_Request,2
223,help me to show whether account is off,Banking_Get_Acc_Status,11
224,help me to obtain whether or not account is turned on,Banking_Get_Acc_Status,11
225,Where to show 10 recent activity for accounts?,Banking_View_Activity,27
226,please can you help me to overcome a card inquiry status,Banking_Get_Card_Request_Status,18
227,get me help to initiating visa card,Banking_Activate_Card,0
228,please help me to provide me my acc_no,Banking_Get_Account_Number,14
229,please help me to surrogate me my password,Banking_Change_Password,7
230,please prepare me my expiry month,Banking_Get_Secure_Info,22
231,assist me to obtain card activating,Banking_Activate_Card,0
232,please help me to display me my master card charges,Banking_Fee_Inquiry,10
233,help me to get visa card re-enabled,Banking_Activate_Card,0
234,please assist to find me my bank card status,Banking_Get_Card_Status,19
235,can you check me fees inquiry of atm card,Banking_Fee_Inquiry,10
236,get me acc_no corrected,Banking_Change_Credential_Info,5
237,provide master card summary,Banking_Get_Card_Details,16
238,re-enabling card atm Passcode,Banking_Activate_Card,0
239,Stop talking to me,General_Ending,33
240,please assist to display my atm card status,Banking_Get_Card_Status,19
241,assist me to prepare me passcode,Banking_Get_Secure_Info,22
242,please deactivate card,Banking_Cancel_Card,1
243,can you please get me my username adjusted,Banking_Change_Username,8
244,1 catch my a/c activity summary,Banking_View_Activity,27
245,Where to overcome 12 recent activity for accounts?,Banking_View_Activity,27
246,help me to transfer my funds,Banking_Transfer_Money,26
247,assist to wire funds,Banking_Transfer_Money,26
248,assist me to display acc details,Banking_Get_Account_Details,13
249,assist me to get my acc number,Banking_Get_Account_Number,14
250,help me to obtain whether or not my account is open,Banking_Get_Acc_Status,11
251,can you please overcome me my cvv,Banking_Get_Secure_Info,22
252,assist me to come with me my atm card revoked,Banking_Cancel_Card,1
253,help me to correct me password,Banking_Change_Password,7
254,please come with bank card reestablish,Banking_Replace_Card,24
255,please can you help me to come with acc number bal,Banking_Get_Account_Balance,12
256,please overcome my acc details,Banking_Get_Account_Details,13
257,can you get me my contact number corrected,Banking_Change_Contact,4
258,get me help to get cost inquiry for debit card,Banking_Fee_Inquiry,10
259,help me to obtain whether my account is canceled,Banking_Get_Acc_Status,11
260,Where to provide activities for my a/c?,Banking_View_Activity,27
261,Is there any charge for registering a complaint for atm card theft?,Banking_Report_Missing_Card,25
262,My credit card is stolen how should I cancel it,Banking_Report_Missing_Card,25
263,enable my visa card atm Passcode,Banking_Activate_Card,0
264,help me to closing my debit card pin num,Banking_Cancel_Card,1
265,please change acc number,Banking_Change_Credential_Info,5
266,please assist me to find my a card offer status,Banking_Get_Card_Request_Status,18
267,what are the procedure to get cost inquiry about card,Banking_Fee_Inquiry,10
268,can you modify my addr,Banking_Change_Address,3
269,please get me my expiry year changed,Banking_Change_Credential_Info,5
270,Where to provide 3 recent activity for my accounts?,Banking_View_Activity,27
271,can you help me to get my passcode changed,Banking_Change_Passcode,6
272,assist me to catch me my card invitation status,Banking_Get_Card_Request_Status,18
273,can you help me to find whether or not account is initiated,Banking_Get_Acc_Status,11
274,assist me to surrogate my email address,Banking_Change_Credential_Info,5
275,what are the procedure for Replace card activation keys,Banking_Replace_Card,24
276,show master card summary,Banking_Get_Card_Details,16
277,please can you help me to catch me my bank card cost inquiry,Banking_Fee_Inquiry,10
278,please assist to prepare acc_no,Banking_Get_Account_Number,14
279,please assist me to obtain a card offer status,Banking_Get_Card_Request_Status,18
280,what are the steps for Replace debit card active keys,Banking_Replace_Card,24
281,transit google mail id,Banking_Change_Credential_Info,5
282,can you display me email,Banking_Get_Email,21
283,raise card offer,Banking_Card_Request,2
284,assist me to activation master card pass num,Banking_Activate_Card,0
285,can you please send my liquid,Banking_Transfer_Money,26
286,Where to show 9 transactions for a/c?,Banking_View_Activity,27
287,please assist me to obtain me my credit card charges,Banking_Fee_Inquiry,10
288,assist me to give my card disabled,Banking_Cancel_Card,1
289,How do I report the theft of my master card?,Banking_Report_Missing_Card,25
290,please can you help me to search bank card status,Banking_Get_Card_Status,19
291,deliver me tale of you,Bot_Desc,32
292,please display my acc details,Banking_Get_Account_Details,13
293,please can you help me to display me debit card closed,Banking_Cancel_Card,1
294,Can I get statement for recent activity in last 14 details?,Banking_View_Activity,27
295,get me help to 1 my bank card,Banking_Activate_Card,0
296,give rise to a offer for card,Banking_Card_Request,2
297,help me to give me a/c details,Banking_Get_Account_Details,13
298,please assist me to turn to my mobile number,Banking_Change_Contact,4
299,what are the procedure for begining my credit card activation keys,Banking_Activate_Card,0
300,please assist to search me my addres,Banking_Get_Address,15
301,assist me to provide passcode,Banking_Get_Secure_Info,22
302,please assist to cause desire for card,Banking_Card_Request,2
303,assist me to provide me my postal addr,Banking_Get_Address,15
304,can you prepare me my visa card restitute,Banking_Replace_Card,24
305,can you provide pass code,Banking_Get_Secure_Info,22
306,come with me my till year,Banking_Get_Secure_Info,22
307,assist me to give registered mail,Banking_Get_Email,21
308,can you come with me card cvv,Banking_Get_Secure_Info,22
309,please help me to set up desire for card,Banking_Card_Request,2
310,please can you help me to search me my a card inquiry status,Banking_Get_Card_Request_Status,18
311,please assist to give me my credit card cost,Banking_Fee_Inquiry,10
312,assist me to obtain my card cvv,Banking_Get_Secure_Info,22
313,please activate my card,Banking_Activate_Card,0
314,give me my a card recourse status,Banking_Get_Card_Request_Status,18
315,help me to change card type,Banking_Change_Credential_Info,5
316,disabled my atm card activation keys,Banking_Cancel_Card,1
317,please assist to obtain me my atm card status,Banking_Get_Card_Status,19
318,get me my password changed,Banking_Change_Password,7
319,give status of my debit card,Banking_Get_Card_Status,19
320,can i get fees inquiry about my atm card,Banking_Fee_Inquiry,10
321,can you get my email id refined,Banking_Change_Credential_Info,5
322,What is the process to activate credit card after cancellation?,Banking_Activate_Card,0
323,present monograph,Bot_Desc,32
324,help me to get charges inquiry for my card,Banking_Fee_Inquiry,10
325,give me till year,Banking_Get_Secure_Info,22
326,get me address updated?,Banking_Change_Address,3
327,assist to catch me my card redeem,Banking_Replace_Card,24
328,please assist to refinement card cvv,Banking_Change_Credential_Info,5
329,please assist me to obtain user name,Banking_Get_Username,23
330,help me to give my 3 activities,Banking_View_Activity,27
331,please transit my passcode,Banking_Change_Passcode,6
332,assist me to provide me my a/c details,Banking_Get_Account_Details,13
333,can you please get my visa card closed,Banking_Cancel_Card,1
334,help me to close atm card active keys,Banking_Cancel_Card,1
335,get me help to setup credit card atm Passcode,Banking_Activate_Card,0
336,Where to find 3 transactions for accounts?,Banking_View_Activity,27
337,search me address,Banking_Get_Address,15
338,How can i be get me card appeal status prepared?,Banking_Get_Card_Request_Status,18
339,help me to get my bank card begining,Banking_Activate_Card,0
340,help me to catch me my debit card status,Banking_Get_Card_Status,19
341,help me to find acc details,Banking_Get_Account_Details,13
342,Where to find recent activity for accounts?,Banking_View_Activity,27
343,can you help me to get my addr updated?,Banking_Change_Address,3
344,please help me to correct my email address,Banking_Change_Credential_Info,5
345,can you get me permenant addr changed,Banking_Change_Credential_Info,5
346,can you help me to induce a inquiry for card,Banking_Card_Request,2
347,please assist me to search me my credit card bal,Banking_Get_Account_Balance,12
348,please help me to give my atm card closing,Banking_Cancel_Card,1
349,please search me my username,Banking_Get_Username,23
350,can you help me to display me my debit cardno,Banking_Get_Card_Number,17
351,detail,Bot_Desc,32
352,please assist me to display me my contact num,Banking_Get_Contact,20
353,can you cause recourse for card,Banking_Card_Request,2
354,assist to overcome with whether my account is turned on,Banking_Get_Acc_Status,11
355,can you help me to give me my mobile no,Banking_Get_Contact,20
356,can you please obtain my acc details,Banking_Get_Account_Details,13
357,assist me to show me account details,Banking_Get_Account_Details,13
358,help me to disabled my debit card activation keys,Banking_Cancel_Card,1
359,can you search me bal of master card,Banking_Get_Account_Balance,12
360,please help me to change my username,Banking_Change_Username,8
361,How can i be caught visa card foreclosed?,Banking_Cancel_Card,1
362,get me my gender turned,Banking_Change_Credential_Info,5
363,assist me to give me my postal addr,Banking_Get_Address,15
364,please get my till_month,Banking_Get_Secure_Info,22
365,please assist me to begin bank card pass number,Banking_Activate_Card,0
366,get my pass_code refined,Banking_Change_Passcode,6
367,Where to overcome activity history for my a/c?,Banking_View_Activity,27
368,assist me to give me my user name,Banking_Get_Username,23
369,please assist to prepare me my mobile number,Banking_Get_Contact,20
370,Where to give a/c activity history for my accounts?,Banking_View_Activity,27
371,please can you help me to find me a card invitation status,Banking_Get_Card_Request_Status,18
372,please help me to give me my card request status,Banking_Get_Card_Request_Status,18
373,assist to check my bank card reconstitute,Banking_Replace_Card,24
374,please can you help me to search my email,Banking_Get_Email,21
375,assist to show my balance of atm card,Banking_Get_Account_Balance,12
376,can you help me to find me my acc details,Banking_Get_Account_Details,13
377,please help me to prepare me any activity summary,Banking_View_Activity,27
378,help me to come with me my password,Banking_Get_Secure_Info,22
379,Going now,General_Ending,33
380,assist me to provide whether or not account is cancelled,Banking_Get_Acc_Status,11
381,assist to catch whether account is revoked,Banking_Get_Acc_Status,11
382,help me to catch whether or not my account is actived,Banking_Get_Acc_Status,11
383,can you obtain till month,Banking_Get_Secure_Info,22
384,please help me to check me atm card foreclosed,Banking_Cancel_Card,1
385,can you please change my card number,Banking_Change_Credential_Info,5
386,please help me to change me user name,Banking_Change_Username,8
387,deactive my credit card,Banking_Cancel_Card,1
388,2 search accounts transactions,Banking_View_Activity,27
389,can you please search me acc no,Banking_Get_Account_Number,14
390,change my acc_no,Banking_Change_Credential_Info,5
391,assist me to come with atm card status,Banking_Get_Card_Status,19
392,assist me to provide me my acc num,Banking_Get_Account_Number,14
393,assist me to engender recourse for card,Banking_Card_Request,2
394,get me help to Change atm card pass number,Banking_Replace_Card,24
395,How can i be get appeal for card set up?,Banking_Card_Request,2
396,deliver portraiture of you,Bot_Desc,32
397,please get me mob no modified,Banking_Change_Contact,4
398,initiate desire for card,Banking_Card_Request,2
399,please obtain my till_month,Banking_Get_Secure_Info,22
400,help me to catch me my user name,Banking_Get_Username,23
401,can you help me to search my credit card change,Banking_Replace_Card,24
402,please assist me to enable debit card pass num,Banking_Activate_Card,0
403,provide explication of you,Bot_Desc,32
404,assist to surrogate my card num,Banking_Change_Credential_Info,5
405,help me to Replace card,Banking_Replace_Card,24
406,I have no idea where i placed debit card,Banking_Report_Missing_Card,25
407,please assist me to prepare me my a card recourse status,Banking_Get_Card_Request_Status,18
408,help me to provide whether my account is disabled,Banking_Get_Acc_Status,11
409,please help me to catch me my acc details,Banking_Get_Account_Details,13
410,what are the processes for Replace visa card pin,Banking_Replace_Card,24
411,assist me to modulation contact num,Banking_Change_Contact,4
412,help me to catch me balance of account number,Banking_Get_Account_Balance,12
413,can you please display me card on,Banking_Activate_Card,0
414,assist to show my username,Banking_Get_Username,23
415,Where to catch 12 recent activity for my a/c?,Banking_View_Activity,27
416,I want to transfer funds to another account within the same bank,Banking_Transfer_Money,26
417,How do I go about reporting a visa card theft?,Banking_Report_Missing_Card,25
418,hand over declaration of you,Bot_Desc,32
419,please prepare my balance,Banking_Get_Account_Balance,12
420,please can you help me to modify my registered mail id,Banking_Change_Credential_Info,5
421,show me a card recourse status,Banking_Get_Card_Request_Status,18
422,What if I left bank card?,Banking_Report_Missing_Card,25
423,How can i be provided master card closed?,Banking_Cancel_Card,1
424,turning on atm card,Banking_Activate_Card,0
425,please get me my registered mail id refined,Banking_Change_Credential_Info,5
426,Here is another issue,Bot_Control_Change_Subject,28
427,please help me to overcome me card restore,Banking_Replace_Card,24
428,achieve a master card offer,Banking_Card_Request,2
429,please assist me to find me my atm card status,Banking_Get_Card_Status,19
430,search me user name,Banking_Get_Username,23
431,can you please get my contact turned,Banking_Change_Contact,4
432,please get till_year,Banking_Get_Secure_Info,22
433,please assist me to raise a appeal for card,Banking_Card_Request,2
434,can you get me email adjusted,Banking_Change_Credential_Info,5
435,search status of visa card,Banking_Get_Card_Status,19
436,please assist to catch my user name,Banking_Get_Username,23
437,can you help me to come with contact num,Banking_Get_Contact,20
438,assist me to come with my passcode,Banking_Get_Secure_Info,22
439,please get my card application status,Banking_Get_Card_Request_Status,18
440,please assist to search me my account details,Banking_Get_Account_Details,13
441,What steps should be taken in the event of a took by someone master card?,Banking_Report_Missing_Card,25
442,get me help to on card,Banking_Activate_Card,0
443,initiate a demand for card,Banking_Card_Request,2
444,please assist to catch me master card cancelled,Banking_Cancel_Card,1
445,I have took by someone atm card and I want to deactivate it,Banking_Report_Missing_Card,25
446,please assist to overcome my yahoo mail id,Banking_Get_Email,21
447,come with me pass-code,Banking_Get_Secure_Info,22
448,can you overcome a/c details,Banking_Get_Account_Details,13
449,get my email refined,Banking_Change_Credential_Info,5
450,please help me to get my pass code transited,Banking_Change_Passcode,6
451,assist to search credit card status,Banking_Get_Card_Status,19
452,help me to adjust me expiry month,Banking_Change_Credential_Info,5
453,can you please correct passwod,Banking_Change_Password,7
454,come with me visa card status,Banking_Get_Card_Status,19
455,help me to display whether or not my account is open,Banking_Get_Acc_Status,11
456,please assist me to come with fees of card,Banking_Fee_Inquiry,10
457,achieve card solicitation,Banking_Card_Request,2
458,search atm card charges inquiry,Banking_Fee_Inquiry,10
459,assist me to prepare me postal addr,Banking_Get_Address,15
460,can you overcome debit card cost inquiry,Banking_Fee_Inquiry,10
461,I want someone to help me show 9 accounts activity history and summary for every activity of my account,Banking_View_Activity,27
462,please assist me to obtain me my my balance,Banking_Get_Account_Balance,12
463,see through my account and tell me whether its is revoking,Banking_Get_Acc_Status,11
464,assist to provide me my passcode,Banking_Get_Secure_Info,22
465,What are the options with the bank card lose?,Banking_Report_Missing_Card,25
466,assist me to get whether my account is disabled,Banking_Get_Acc_Status,11
467,help me to find me card demand status,Banking_Get_Card_Request_Status,18
468,assist to give me my card solicitation status,Banking_Get_Card_Request_Status,18
469,can you help me to show me my present address,Banking_Get_Address,15
470,can you get account details,Banking_Get_Account_Details,13
471,assist me to get whether or not my account is turn off,Banking_Get_Acc_Status,11
472,assist me to provide me a card desire status,Banking_Get_Card_Request_Status,18
473,provide me your story,Bot_Desc,32
474,help me to show credit card_no,Banking_Get_Card_Number,17
475,How can i be get a offer for card developed?,Banking_Card_Request,2
476,help me to search me email address,Banking_Get_Email,21
477,no longer want credit card pin num,Banking_Cancel_Card,1
478,How can i be get a invitation for card raised?,Banking_Card_Request,2
479,I want someone to help me find 1 recent activity and summary for every activity of my account,Banking_View_Activity,27
480,please help me to come with me user name,Banking_Get_Username,23
481,help me to Change my bank card,Banking_Replace_Card,24
482,0 debit card,Banking_Cancel_Card,1
483,please assist me to get charges my card,Banking_Fee_Inquiry,10
484,Is there any charge for registering a complaint for master card theft?,Banking_Report_Missing_Card,25
485,assist me to prepare my expiry month,Banking_Get_Secure_Info,22
486,assist to get whether my account is enabled,Banking_Get_Acc_Status,11
487,please help me to prepare me my bank card on,Banking_Activate_Card,0
488,can you please surrogate user name,Banking_Change_Username,8
489,can you help me to show me a card invitation status,Banking_Get_Card_Request_Status,18
490,can you help me to display me my account num,Banking_Get_Account_Number,14
491,assist to catch me my acc num,Banking_Get_Account_Number,14
492,can i close my credit card pass number,Banking_Cancel_Card,1
493,please can you help me to come with me account details,Banking_Get_Account_Details,13
494,what are the procedure for Replace card pin number,Banking_Replace_Card,24
495,assist me to show me my acc details,Banking_Get_Account_Details,13
496,can you please overcome me my charges inquiry of credit card,Banking_Fee_Inquiry,10
497,I would like to know what to do if I lose my atm card,Banking_Report_Missing_Card,25
